x,y,theta,theta_degree,v,omega
0.8878551692214617,-0.6491669465454688,1.3280410031713568,76.09114450203872,0.06300443295704292,0.05056645176547736
0.8883435505874002,-0.6471889010645142,1.3291870090030757,76.1568057994936,0.06312538243420052,0.05073248722630774
0.8888157685931193,-0.6452703852374855,1.329549456397253,76.17757250547547,0.0632460020453743,0.052454064313716575
0.889284094563289,-0.6433682584817624,1.3289813027113793,76.1450196971601,0.06336629009952564,0.05602536737533059
0.8897172152571379,-0.6416187073625906,1.3273173474407298,76.04968208285334,0.0634898746915608,0.06185016194597148
0.8901310338760603,-0.639963049026305,1.3246517023822215,75.89695187132091,0.06360948442860977,0.06959344861462435
0.8905485282007432,-0.6383141646703621,1.3213852774327812,75.70979950762175,0.06372875755219728,0.07852711356652442
0.8909534229693306,-0.6367369778682977,1.3181404010785274,75.5238817874812,0.0638512912048119,0.08747883926641764
0.8913658958370362,-0.635150615930371,1.315235496545163,75.357443017831,0.06396987584744551,0.09566705430895928
0.8918086754153369,-0.6334657030271515,1.3128659896828914,75.22168027509555,0.06408811892035299,0.10277357913807617
0.8922602790819937,-0.6317585952151904,1.3117836810787866,75.15966855994967,0.06420958615915835,0.10736615321911058
0.8927387899210968,-0.6299513287752968,1.3121355998219828,75.17983201866635,0.06432713078815046,0.10900799173160491
0.8932597358521994,-0.6279736238427046,1.3142985235858882,75.30375842174668,0.06444432898889345,0.10701720416733629
0.8937861912706827,-0.6259498106235993,1.3178127093240983,75.50510643297119,0.06456471464467575,0.10238364403749856
0.894307049066754,-0.6239178693902048,1.3213291772661349,75.70658520484292,0.06468120463460308,0.09766449142908007
0.8948374358630352,-0.621818333206108,1.3247949921346183,75.90516176938071,0.0647973434331747,0.09303630023626264
0.8953465908193714,-0.6197741491878803,1.3280045051055887,76.08905331690981,0.06491663263463447,0.08897978718990407
0.8958504124042262,-0.6177241391070166,1.331072327274418,76.26482657948041,0.06503205364693516,0.08512684809039106
0.8963639514609965,-0.6156070418692792,1.3341158692905335,76.43920869177457,0.06514711879796697,0.08131238858729528
0.8968565511479446,-0.6135497965089511,1.336988656311799,76.60380726353303,0.06526529696477827,0.07789785333029497
0.8973427245845765,-0.611492912162522,1.3398798393756208,76.76945985088973,0.065379634941116,0.07436790727213705
0.8978388239059423,-0.6093671874880846,1.3426669243379052,76.92914805637301,0.06549361247734004,0.07103633369145967
0.8983216695045801,-0.6072746856922254,1.3449869903372158,77.0620780463253,0.06561066531351498,0.06869656873138963
0.8988019694796836,-0.605172007803771,1.347144536784342,77.18569635184907,0.06572390646943499,0.06660438251571765
0.8992930753158804,-0.6030004581433192,1.3493203830379057,77.31036315904763,0.06583678269543301,0.0644660231400036
0.8997662293523432,-0.6008876905376763,1.3513392486454137,77.42603563776196,0.06595269618297787,0.06269876833264476
0.9002366548171162,-0.5987676358181978,1.353263213934076,77.53627072873196,0.06606482700184148,0.06104498243092893
0.9007180224108369,-0.596578400528839,1.355189598335571,77.64664442465748,0.06617658848806877,0.05937702835599801
0.9011820727824231,-0.5944489631809987,1.357009013825796,77.75088925342808,0.06629134888091842,0.0579795437276025
0.9016431008101885,-0.5923150424422053,1.3587783171985206,77.85226286936347,0.06640571413766994,0.05667254882627093
0.9021150410051882,-0.5901117243072074,1.3605575014058238,77.95420261541827,0.06651298968517486,0.05520570455596596
0.9025702043156745,-0.587968639143979,1.3622443960076407,78.05085455658578,0.06662658350339312,0.054044872365583974
0.9030225449970989,-0.5858212959925779,1.3638870989521639,78.14497450230067,0.0667364541407496,0.05289826311562695
0.9034857573549322,-0.5836042547797892,1.3655428867834025,78.23984415679976,0.06684594689397445,0.05171662247421427
0.9039326159567319,-0.5814481335941557,1.3671153333124049,78.3299387064216,0.06695836091820828,0.05075701860817983
0.9043768410695444,-0.5792878367277724,1.3686523765944671,78.4180047994127,0.0670670822187543,0.04979510516685748
0.9048318509305949,-0.5770576520947343,1.37020593923194,78.50701738174911,0.06717542148291306,0.04879151654171476
0.9052708950212778,-0.574888960668517,1.371684776538994,78.59174851802979,0.0672866427490892,0.04799216625343661
