x,y,theta,theta_degree,v,omega
-1.6117879904430088e-05,2.5077822486249332e-05,-1.000077230750056,-57.300204509109165,0.5,0.5
-2.0707859410135088e-05,3.2203465708773374e-05,-1.0001106786834246,-57.302120934524616,0.49999999999999994,0.5
-2.0668736129783594e-05,3.2161156365629814e-05,-1.0001106504800013,-57.30211931858749,0.5,0.5
-2.0668272234616522e-05,3.2162194642988e-05,-1.0001106406629443,-57.30211875611156,0.49999999999999994,0.5
0.0001818305187894411,-0.0002829873026542126,-0.9996600738149423,-57.27630317733253,0.49999999999999994,0.5
0.0007912671324144058,-0.0012297165705013637,-0.9984039354147243,-57.20433174851573,0.5,0.5
0.0018486410399650216,-0.0028662022905188538,-0.9962686966056563,-57.08199157650359,0.5,0.5
0.0032921472351871792,-0.005088054559299532,-0.993378615269748,-56.916402113506514,0.5,0.5
0.005139815387757669,-0.00791164265418649,-0.9896847806436361,-56.70476097921102,0.5,0.5
0.007442987903135162,-0.011399611916117918,-0.9850463382123256,-56.438997804382524,0.49999999999999994,0.5
0.010017982586171113,-0.015257611551482454,-0.979747744860191,-56.13541076794914,0.49999999999999994,0.5
0.012845684400207906,-0.019443125760764995,-0.9736875733841024,-55.7881885192437,0.5,0.5
0.015891447664976674,-0.02389328096530469,-0.9666926727569034,-55.38741023519178,0.5,0.5
0.018842512004654505,-0.02815907166874585,-0.9592374626033476,-54.96025815800996,0.5,0.5
0.02188987286742343,-0.03246116716786278,-0.9510609271471535,-54.49177718533096,0.5,0.5
0.025291875091893595,-0.037177722174315635,-0.9419054552669955,-53.967207287147204,0.5,0.5
0.028996065144088076,-0.042213584759165534,-0.932287727606918,-53.41615208371853,0.5,0.5
0.033188735048346636,-0.04779681660148662,-0.9219477181346821,-52.82371318083412,0.5,0.5
0.03800414411977941,-0.054067915952735565,-0.9106489959927139,-52.176344088208324,0.5,0.5
0.04301790909512758,-0.060454373778645015,-0.8997687458438446,-51.55295167463153,0.49999999999999994,0.5
0.04813692254458988,-0.06684047353407647,-0.8890067160255525,-50.936332787049444,0.5,0.5
